"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@sevedabo @TarotPriestess1 @N3S73 @RMartinWriting @FLTeacher69 @amorenomore @AntiTrumpie @HKrassenstein… https://t.co/yuDNiP9HaE",FALSE,4,"sevedabo",2020-08-17 23:47:13,TRUE,"1295368963485040643","1295507506173743110","2968615677","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Julie_Catalano",0,FALSE,FALSE,NA,NA
"2","@krisettexxz_ Hahahahah what did you say to your aunt, Julie?",FALSE,0,"krisettexxz_",2020-08-17 20:33:54,FALSE,"1295374033119133696","1295458857536245760","3610836558","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamwidiw",0,FALSE,FALSE,NA,NA
"3","@SYDRIIANS she has the exact hair as my aunt called julie maybe im trying to disassociate them",FALSE,1,"SYDRIIANS",2020-08-17 19:40:10,FALSE,"1295445129638092805","1295445332470505472","1186860959001911296","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rothlaylas",0,FALSE,FALSE,NA,NA
"4","Belly rolls and ugly faces are my forté, but Aunt Julie makes up for it ❤️ https://t.co/6QQi5NvnKK",FALSE,3,NA,2020-08-17 19:00:52,FALSE,NA,"1295435441831677953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_douglas42",0,FALSE,FALSE,NA,NA
"5","@ARTHurSERVICE ""Chahin"" 🤣🤣 from aunt julie to cha juliana 🤣🤣",FALSE,2,"ARTHurSERVICE",2020-08-17 18:59:16,FALSE,"1295397464380338184","1295435039358894080","40235446","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","infantcee",0,FALSE,FALSE,NA,NA
"6","@macoydubs1 TEKA LANG NAMAN AUNT JULIE,,, SATC!!!!!!! HAHAHAHAH THE TASTE💯💖",FALSE,0,"macoydubs1",2020-08-17 16:09:06,FALSE,"1295325640531443712","1295392217851363328","1204452994034454528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","quinmars",0,FALSE,FALSE,NA,NA
"7","@macoydubs1 Si Aunt Julie feeling ko nalilimutan mo din kung saang school mo na naging friends ang mga kumare mo. 😂",FALSE,1,"macoydubs1",2020-08-17 15:24:25,FALSE,"1295378237032292357","1295380971114639361","1204452994034454528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zeijiffry",0,FALSE,FALSE,NA,NA
"8","Aunt Julie Knows Good Sex* https://t.co/rJbODcaXRE",FALSE,0,NA,2020-08-17 15:23:05,FALSE,NA,"1295380634928586759",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","awesome_drew",0,FALSE,FALSE,NA,NA
"9","I wish I have an Aunt like Auntie Julie https://t.co/wUnTNDjbE4",FALSE,0,NA,2020-08-17 15:06:51,FALSE,NA,"1295376552515911686",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sashasuke",0,FALSE,FALSE,NA,NA
"10","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 13:46:42,FALSE,NA,"1295356382649057280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jalisquared",245,TRUE,FALSE,NA,NA
"11","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 13:07:13,FALSE,NA,"1295346445776613376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srlsuarez",245,TRUE,FALSE,NA,NA
"12","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 12:38:11,FALSE,NA,"1295339138409852928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","contredestin",245,TRUE,FALSE,NA,NA
"13","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 12:35:13,FALSE,NA,"1295338392847187969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaryaAntonet",245,TRUE,FALSE,NA,NA
"14","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 12:16:03,FALSE,NA,"1295333566486913024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","finallylexi",245,TRUE,FALSE,NA,NA
"15","RT @heyheyandre_art: auntie julie is the progressive aunt we all wish we had😭",FALSE,0,NA,2020-08-17 12:15:06,FALSE,NA,"1295333329445638145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","___milka",20,TRUE,FALSE,NA,NA
"16","During the pandemic, have you struggled during virtual meetings? Maybe you intended to share a PowerPoint of busine… https://t.co/iRpCHNx9O2",FALSE,0,NA,2020-08-17 12:14:55,TRUE,NA,"1295333283795017728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SBLeaders",0,FALSE,FALSE,NA,NA
"17","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 12:11:53,FALSE,NA,"1295332518099468289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oororieshi",245,TRUE,FALSE,NA,NA
"18","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 12:11:51,FALSE,NA,"1295332509727764483",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","katcoconutmd",245,TRUE,FALSE,NA,NA
"19","tawang tawa ako sa yung galaw ng galaw yung ulo tapos inaayos lang yung hair ano ba?!? Hahahah  aunt julie!! https://t.co/bdMIggCldm",FALSE,0,NA,2020-08-17 12:08:44,FALSE,NA,"1295331727351529473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DAlphaDSierra",0,FALSE,FALSE,NA,NA
"20","Uncle Julio Auntie Julie’s brother from Ateneo who hides his gayness, but because aunt Julie is so Machika, she dis… https://t.co/lMgXZMkhcl",FALSE,0,NA,2020-08-17 12:08:02,TRUE,NA,"1295331552881078272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandaedate88",0,FALSE,FALSE,NA,NA
"21","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 12:02:47,FALSE,NA,"1295330228596875264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ohitsericj",245,TRUE,FALSE,NA,NA
"22","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 11:38:18,FALSE,NA,"1295324068862984194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diannaraOhlala",245,TRUE,FALSE,NA,NA
"23","Fun Aunt Julie looking so fresh 💯 https://t.co/aPung874Y9",FALSE,0,NA,2020-08-17 11:10:46,FALSE,NA,"1295317137293078528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tamnaeneun",0,FALSE,FALSE,NA,NA
"24","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 11:09:28,FALSE,NA,"1295316811789897729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xtentakels",245,TRUE,FALSE,NA,NA
"25","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:52:20,FALSE,NA,"1295312500464816128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amielbenj_",245,TRUE,FALSE,NA,NA
"26","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:42:25,FALSE,NA,"1295310004409401347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rsnncrmna",245,TRUE,FALSE,NA,NA
"27","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:38:40,FALSE,NA,"1295309062318383104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mamupiggeee",245,TRUE,FALSE,NA,NA
"28","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:37:30,FALSE,NA,"1295308768599633922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaraMClAud__",245,TRUE,FALSE,NA,NA
"29","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:35:25,FALSE,NA,"1295308243888005120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joyannemrls",245,TRUE,FALSE,NA,NA
"30","Nga pala may aunt Julie version sa planta, ang pollution control officer namin 😂😁",FALSE,0,NA,2020-08-17 10:34:06,FALSE,NA,"1295307912135335937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustLuwy",0,FALSE,FALSE,NA,NA
"31","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:31:21,FALSE,NA,"1295307218447818755",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CuteNiAge",245,TRUE,FALSE,NA,NA
"32","AHAHAHAHA i’m totally living for this Aunt Julie series 🤣 https://t.co/kCmv5YdE7s",FALSE,0,NA,2020-08-17 10:30:53,FALSE,NA,"1295307101938413570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edgardoalegre",0,FALSE,FALSE,NA,NA
"33","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 10:00:53,FALSE,NA,"1295299550584791046",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AltheaKylaaa",245,TRUE,FALSE,NA,NA
"34","@macoydubs1 Aunt Julie with her pearls FTW! Hahaha",FALSE,1,"macoydubs1",2020-08-17 09:48:43,FALSE,"1295283135232397312","1295296489040695297","1204452994034454528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DAlphaDSierra",0,FALSE,FALSE,NA,NA
"35","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 09:45:41,FALSE,NA,"1295295726549962754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katherawr",245,TRUE,FALSE,NA,NA
"36","Natatakot ako kay aunt Julie https://t.co/iJe4OoSFUV",FALSE,1,NA,2020-08-17 09:38:17,FALSE,NA,"1295293867017699328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wheredshebe",0,FALSE,FALSE,NA,NA
"37","omg aunt julie! did u know you’re trending?? @macoydubs1 

*bless 5x for 5k cash* hahahaha https://t.co/M0JXgqJFVd",FALSE,0,NA,2020-08-17 09:34:36,FALSE,NA,"1295292937744429056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hematokhezia",0,FALSE,FALSE,NA,NA
"38","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 09:27:21,FALSE,NA,"1295291112261734402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","renzmchl",245,TRUE,FALSE,NA,NA
"39","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 09:26:39,FALSE,NA,"1295290937304731648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gelobeans91",245,TRUE,FALSE,NA,NA
"40","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 09:22:39,FALSE,NA,"1295289931967815680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MicLoresto",245,TRUE,FALSE,NA,NA
"41","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 09:14:53,FALSE,NA,"1295287978340671488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjshlfrncsco",245,TRUE,FALSE,NA,NA
"42","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 09:11:53,FALSE,NA,"1295287219586965510",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","csherylsanchez",245,TRUE,FALSE,NA,NA
"43","OMG. MAHAL KITA, AUNT JULIE. WE LIKE PROGRESSIVE TITAS. HAHAHAHAHAHA https://t.co/ho40GGToeh",FALSE,0,NA,2020-08-17 09:11:25,FALSE,NA,"1295287104998502400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kyramicaella",0,FALSE,FALSE,NA,NA
"44","i aspire to be aunt julie!!!",FALSE,0,NA,2020-08-17 09:11:13,FALSE,NA,"1295287052611645440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stanwitche",0,FALSE,FALSE,NA,NA
"45","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:56:28,FALSE,NA,"1295283341646684161",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","eydjaculate",245,TRUE,FALSE,NA,NA
"46","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:44:23,FALSE,NA,"1295280302441472000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","caymndz_",245,TRUE,FALSE,NA,NA
"47","when i have a real aunt julie and she looks exactly like this https://t.co/MFJQfaOXRt https://t.co/yy8Mvv7rYf",FALSE,0,NA,2020-08-17 08:22:17,FALSE,NA,"1295274737094938624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giveyoumywilde",0,FALSE,FALSE,NA,NA
"48","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:14:16,FALSE,NA,"1295272720351916033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saprotrophs",245,TRUE,FALSE,NA,NA
"49","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:08:51,FALSE,NA,"1295271359648432128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wtafbecca",245,TRUE,FALSE,NA,NA
"50","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:08:40,FALSE,NA,"1295271311611027462",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimfederizo",245,TRUE,FALSE,NA,NA
"51","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:04:47,FALSE,NA,"1295270333734203393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jarojaenx",245,TRUE,FALSE,NA,NA
